gene,seqnames,start,end,width,strand,gene_id,gene_name,gene_biotype,seq_coord_system,description,gene_id_version,logFC,AveExpr,t,P.Value,adj.P.Val,isSignificant
SLC4A10,2,161424332,161985282,560951,+,ENSG00000144290,SLC4A10,protein_coding,chromosome,solute carrier family 4 member 10 [Source:HGNC Symbol;Acc:HGNC:13811],ENSG00000144290.17,-4.019820713638624,0.8642949725000845,-9.226164595844164,4.435109942777973e-13,5.03235282624005e-9,TRUE
CACNA2D3,3,54122547,55074557,952011,+,ENSG00000157445,CACNA2D3,protein_coding,chromosome,calcium voltage-gated channel auxiliary subunit alpha2delta 3 [Source:HGNC Symbol;Acc:HGNC:15460],ENSG00000157445.15,-3.8181965042254795,0.0032932640770264965,-9.098740172381932,7.085326048912426e-13,5.03235282624005e-9,TRUE
NRCAM,7,108147623,108456717,309095,-,ENSG00000091129,NRCAM,protein_coding,chromosome,neuronal cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:7994],ENSG00000091129.21,-3.6588751565408204,-0.9393501100755826,-8.05676891138765,3.428757462891603e-11,1.6235166586791742e-7,TRUE
B3GALT2,1,193178730,193186613,7884,-,ENSG00000162630,B3GALT2,protein_coding,chromosome,"beta-1,3-galactosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:917]",ENSG00000162630.6,-3.013340314139443,-0.46895737128535814,-7.789333597849031,9.380472129519351e-11,3.3312401649955596e-7,TRUE
IGHG1,14,105736343,105743071,6729,-,ENSG00000211896,IGHG1,IG_C_gene,chromosome,immunoglobulin heavy constant gamma 1 (G1m marker) [Source:HGNC Symbol;Acc:HGNC:5525],ENSG00000211896.7,4.667084693509609,10.345171918487535,7.582875322745837,2.0439132139202668e-10,5.806757440747478e-7,TRUE
LRRN3,7,111091006,111125454,34449,+,ENSG00000173114,LRRN3,protein_coding,chromosome,leucine rich repeat neuronal 3 [Source:HGNC Symbol;Acc:HGNC:17200],ENSG00000173114.13,-3.534529875406562,1.9982076073859178,-7.307576258052567,5.783288145535588e-10,1.3691934684555506e-6,TRUE
SEZ6L,22,26169462,26383597,214136,+,ENSG00000100095,SEZ6L,protein_coding,chromosome,seizure related 6 homolog like [Source:HGNC Symbol;Acc:HGNC:10763],ENSG00000100095.19,-3.724623649594719,-1.4141724543432546,-7.190371190092553,9.007503356257133e-10,1.8278797882233224e-6,TRUE
DCANP1,5,135444214,135447348,3135,-,ENSG00000251380,DCANP1,protein_coding,chromosome,dendritic cell associated nuclear protein [Source:HGNC Symbol;Acc:HGNC:24459],ENSG00000251380.3,-3.982488335428935,-2.4906249526798647,-7.110576026039035,1.2179209793002677e-9,2.162570938870038e-6,TRUE
ELOVL4,6,79914814,79947553,32740,-,ENSG00000118402,ELOVL4,protein_coding,chromosome,ELOVL fatty acid elongase 4 [Source:HGNC Symbol;Acc:HGNC:14415],ENSG00000118402.6,-2.7877143016716603,-0.39930032510848956,-6.795506469197118,4.005384692519979e-9,6.189977851904937e-6,TRUE
ADAMTS5,21,26917922,26967088,49167,-,ENSG00000154736,ADAMTS5,protein_coding,chromosome,ADAM metallopeptidase with thrombospondin type 1 motif 5 [Source:HGNC Symbol;Acc:HGNC:221],ENSG00000154736.6,-3.735966677417302,-2.148338141439217,-6.77317983490694,4.357604964382216e-9,6.189977851904937e-6,TRUE
